id,episode_id,number,raw_text,timestamp_in_ms,speaking_line,character_id,location_id,raw_character_text,raw_location_text,spoken_words,normalized_text,word_count
9549,32,209,"Miss Hoover: No, actually, it was a little of both. Sometimes when a disease is in all the magazines and all the news shows, it's only natural that you think you have it.",848000,true,464,3,Miss Hoover,Springfield Elementary School,"No, actually, it was a little of both. Sometimes when a disease is in all the magazines and all the news shows, it's only natural that you think you have it.",no actually it was a little of both sometimes when a disease is in all the magazines and all the news shows its only natural that you think you have it,31
9550,32,210,Lisa Simpson: (NEAR TEARS) Where's Mr. Bergstrom?,856000,true,9,3,Lisa Simpson,Springfield Elementary School,Where's Mr. Bergstrom?,wheres mr bergstrom,3
9551,32,211,Miss Hoover: I don't know. Although I'd sure like to talk to him. He didn't touch my lesson plan. What did he teach you?,856000,true,464,3,Miss Hoover,Springfield Elementary School,I don't know. Although I'd sure like to talk to him. He didn't touch my lesson plan. What did he teach you?,i dont know although id sure like to talk to him he didnt touch my lesson plan what did he teach you,22
9552,32,212,Lisa Simpson: That life is worth living.,864000,true,9,3,Lisa Simpson,Springfield Elementary School,That life is worth living.,that life is worth living,5
9553,32,213,"Edna Krabappel-Flanders: The polls will be open from now until the end of recess. Now, (SOUR) just in case any of you have decided to put any thought into this, we'll have our final statements. Martin?",864000,true,40,3,Edna Krabappel-Flanders,Springfield Elementary School,"The polls will be open from now until the end of recess. Now, just in case any of you have decided to put any thought into this, we'll have our final statements. Martin?",the polls will be open from now until the end of recess now just in case any of you have decided to put any thought into this well have our final statements martin,33
9554,32,214,Martin Prince: (HOARSE WHISPER) I don't think there's anything left to say.,877000,true,38,3,Martin Prince,Springfield Elementary School,I don't think there's anything left to say.,i dont think theres anything left to say,8
9555,32,215,Edna Krabappel-Flanders: Bart?,881000,true,40,3,Edna Krabappel-Flanders,Springfield Elementary School,Bart?,bart,1
9556,32,216,Bart Simpson: Victory party under the slide!,882000,true,8,3,Bart Simpson,Springfield Elementary School,Victory party under the slide!,victory party under the slide,5
9557,32,217,(Apartment Building: Ext. apartment building - day),889000,false,,374,,Apartment Building,,,
9558,32,218,Lisa Simpson: (CALLING) Mr. Bergstrom! Mr. Bergstrom!,889000,true,9,374,Lisa Simpson,Apartment Building,Mr. Bergstrom! Mr. Bergstrom!,mr bergstrom mr bergstrom,4
9559,32,219,"Landlady: Hey, hey, he Moved out this morning. He must have a new job -- he took his Copernicus costume.",893000,true,469,374,Landlady,Apartment Building,"Hey, hey, he Moved out this morning. He must have a new job -- he took his Copernicus costume.",hey hey he moved out this morning he must have a new job -- he took his copernicus costume,19
9560,32,220,Lisa Simpson: Do you know where I could find him?,898000,true,9,374,Lisa Simpson,Apartment Building,Do you know where I could find him?,do you know where i could find him,8
9561,32,221,Landlady: I think he's taking the next train to Capital City.,900000,true,469,374,Landlady,Apartment Building,I think he's taking the next train to Capital City.,i think hes taking the next train to capital city,10
9562,32,222,"Lisa Simpson: The train, how like him... traditional, yet environmentally sound.",903000,true,9,374,Lisa Simpson,Apartment Building,"The train, how like him... traditional, yet environmentally sound.",the train how like him traditional yet environmentally sound,9
9563,32,223,"Landlady: Yes, and it's been the backbone of our country since Leland Stanford drove that golden spike at Promontory point.",908000,true,469,374,Landlady,Apartment Building,"Yes, and it's been the backbone of our country since Leland Stanford drove that golden spike at Promontory point.",yes and its been the backbone of our country since leland stanford drove that golden spike at promontory point,19
9564,32,224,"Lisa Simpson: I see he touched you, too.",915000,true,9,374,Lisa Simpson,Apartment Building,"I see he touched you, too.",i see he touched you too,6
9565,32,225,(Springfield Elementary School: EXT. ELEMENTARY - SCHOOL PLAYGROUND - AFTERNOON),918000,false,,3,,Springfield Elementary School,,,
9566,32,226,"Bart Simpson: Hey, thanks for your vote, man.",918000,true,8,3,Bart Simpson,Springfield Elementary School,"Hey, thanks for your vote, man.",hey thanks for your vote man,6
9567,32,227,Nelson Muntz: I didn't vote. Voting's for geeks.,920000,true,101,3,Nelson Muntz,Springfield Elementary School,I didn't vote. Voting's for geeks.,i didnt vote votings for geeks,6
9568,32,228,"Bart Simpson: Well, you got that right. (TO TERRI AND SHERRI) Thanks for your vote, girls.",922000,true,8,3,Bart Simpson,Springfield Elementary School,"Well, you got that right. Thanks for your vote, girls.",well you got that right thanks for your vote girls,10
9569,32,229,Terri/sherri: We forgot.,925000,true,467,3,Terri/sherri,Springfield Elementary School,We forgot.,we forgot,2
9570,32,230,"Bart Simpson: Well, don't sweat it. Just so long as a couple of people did... right, Milhouse?",927000,true,8,3,Bart Simpson,Springfield Elementary School,"Well, don't sweat it. Just so long as a couple of people did... right, Milhouse?",well dont sweat it just so long as a couple of people did right milhouse,15
9571,32,231,Milhouse Van Houten: Uh oh.,930000,true,25,3,Milhouse Van Houten,Springfield Elementary School,Uh oh.,uh oh,2
9572,32,232,Bart Simpson: Lewis?,931000,true,8,3,Bart Simpson,Springfield Elementary School,Lewis?,lewis,1
9573,32,233,Bart Simpson: (LOUDER) Somebody must have voted.,932000,true,8,3,Bart Simpson,Springfield Elementary School,Somebody must have voted.,somebody must have voted,4
9574,32,234,"Milhouse Van Houten: What about you, Bart? Didn't you vote?",933000,true,25,3,Milhouse Van Houten,Springfield Elementary School,"What about you, Bart? Didn't you vote?",what about you bart didnt you vote,7
9575,32,235,Bart Simpson: Uh oh.,936000,true,8,3,Bart Simpson,Springfield Elementary School,Uh oh.,uh oh,2
9576,32,236,Bart Simpson: (ANGUISHED SCREAM),936000,false,8,3,Bart Simpson,Springfield Elementary School,,,
9577,32,237,Wendell Borton: Yayyyyyyyyyyyyyy!,943000,true,53,3,Wendell Borton,Springfield Elementary School,Yayyyyyyyyyyyyyy!,yayyyyyyyyyyyyyy,1
75766,263,106,(Moe's Tavern: Int. Moe's - evening),497000,false,,15,,Moe's Tavern,,,
9578,32,238,Bart Simpson: (TO MRS. KRABAPPEL) I demand a recount.,943000,true,8,3,Bart Simpson,Springfield Elementary School,I demand a recount.,i demand a recount,4
